input_id,round_id,fc1_min_abs_diff,fc1_max_abs_diff,fc1_mean_abs_diff,fc2_min_abs_diff,fc2_max_abs_diff,fc2_mean_abs_diff,fc3_min_abs_diff,fc3_max_abs_diff,fc3_mean_abs_diff,all_layers_max_diff,all_layers_min_of_max,real_input,pred_input,inverse_method
14,3,0.02627633512020111,2.6999239921569824,0.9665727615356445,0.008925303816795349,2.522860527038574,0.9277443885803223,0.0,0.0,0.0,2.6999239921569824,0.0,"[-0.49876150488853455, 1.8744271993637085, -1.3906177282333374, -1.0456327199935913]","[0.2855316400527954, 0.22610536217689514, 0.09733647853136063, -0.35473841428756714]",regularized
15,1,0.051836758852005005,2.558605909347534,0.9078955054283142,0.08453677594661713,2.5459015369415283,0.9280304908752441,0.0,0.0,0.0,2.558605909347534,0.0,"[-0.49876150488853455, 1.4272477626800537, -1.2760063409805298, -1.3126027584075928]","[0.2704137861728668, 0.21989712119102478, 0.10575475543737411, -0.34914398193359375]",pseudo_inverse
15,2,0.051836758852005005,2.558605909347534,0.9078955054283142,0.08453677594661713,2.5459015369415283,0.9280304908752441,0.0,0.0,0.0,2.558605909347534,0.0,"[-0.49876150488853455, 1.4272477626800537, -1.2760063409805298, -1.3126027584075928]","[0.2704137861728668, 0.21989712119102478, 0.10575475543737411, -0.34914398193359375]",svd
15,3,0.051836758852005005,2.5586166381835938,0.9076958894729614,0.08453677594661713,2.555731773376465,0.9295485019683838,0.0,0.0,0.0,2.5586166381835938,0.0,"[-0.49876150488853455, 1.4272477626800537, -1.2760063409805298, -1.3126027584075928]","[0.27097415924072266, 0.21900266408920288, 0.10486528277397156, -0.34980714321136475]",regularized
16,1,0.0022276192903518677,1.2237186431884766,0.4749152660369873,0.038442134857177734,1.924431324005127,0.540502667427063,0.0,0.0,0.0,1.924431324005127,0.0,"[-0.37686461210250854, -1.4794186353683472, -0.015281513333320618, -0.24472256004810333]","[-0.08629195392131805, -0.11697527021169662, 0.2776947617530823, -0.08583846688270569]",pseudo_inverse
16,2,0.0022276192903518677,1.2237186431884766,0.4749152660369873,0.038442134857177734,1.924431324005127,0.540502667427063,0.0,0.0,0.0,1.924431324005127,0.0,"[-0.37686461210250854, -1.4794186353683472, -0.015281513333320618, -0.24472256004810333]","[-0.08629195392131805, -0.11697527021169662, 0.2776947617530823, -0.08583846688270569]",svd
16,3,0.0022276192903518677,1.222777247428894,0.475017786026001,0.038442134857177734,1.927586317062378,0.5401677489280701,0.0,0.0,0.0,1.927586317062378,0.0,"[-0.37686461210250854, -1.4794186353683472, -0.015281513333320618, -0.24472256004810333]","[-0.08666782081127167, -0.11657258123159409, 0.27869224548339844, -0.0861435979604721]",regularized
17,1,0.003930255770683289,1.3387081623077393,0.3999307155609131,0.1855931282043457,1.7104827165603638,0.6797402501106262,0.0,0.0,0.0,1.7104827165603638,0.0,"[0.598310649394989, -0.5850597620010376, 0.78699791431427, 0.4227026104927063]","[0.11242756247520447, 0.05074819177389145, 0.24697142839431763, 0.16998523473739624]",pseudo_inverse
17,2,0.003930255770683289,1.3387081623077393,0.3999307155609131,0.1855931282043457,1.7104827165603638,0.6797402501106262,0.0,0.0,0.0,1.7104827165603638,0.0,"[0.598310649394989, -0.5850597620010376, 0.78699791431427, 0.4227026104927063]","[0.11242756247520447, 0.05074819177389145, 0.24697142839431763, 0.16998523473739624]",svd
17,3,0.0012601017951965332,1.3387081623077393,0.3996971845626831,0.1855931282043457,1.7130225896835327,0.6797877550125122,0.0,0.0,0.0,1.7130225896835327,0.0,"[0.598310649394989, -0.5850597620010376, 0.78699791431427, 0.4227026104927063]","[0.11169993132352829, 0.05114820599555969, 0.24670715630054474, 0.17013061046600342]",regularized
18,1,0.014845550060272217,1.3057355880737305,0.46023502945899963,0.04343140870332718,1.717738389968872,0.6621403694152832,0.0,0.0,0.0,1.717738389968872,0.0,"[0.7202075719833374, 0.08570939302444458, 1.0162206888198853, 0.8231577277183533]","[0.1971895545721054, 0.07192841172218323, 0.24545106291770935, 0.2107505351305008]",pseudo_inverse
18,2,0.014845550060272217,1.3057355880737305,0.46023502945899963,0.04343140870332718,1.717738389968872,0.6621403694152832,0.0,0.0,0.0,1.717738389968872,0.0,"[0.7202075719833374, 0.08570939302444458, 1.0162206888198853, 0.8231577277183533]","[0.1971895545721054, 0.07192841172218323, 0.24545106291770935, 0.2107505351305008]",svd
18,3,0.01565873622894287,1.3057355880737305,0.46032047271728516,0.04343140870332718,1.7199122905731201,0.6621460318565369,0.0,0.0,0.0,1.7199122905731201,0.0,"[0.7202075719833374, 0.08570939302444458, 1.0162206888198853, 0.8231577277183533]","[0.19639933109283447, 0.07279700040817261, 0.24543507397174835, 0.21108974516391754]",regularized
19,1,0.008854389190673828,1.1106077432632446,0.3477488160133362,0.11616837233304977,1.5390918254852295,0.5371373295783997,0.0,0.0,0.0,1.5390918254852295,0.0,"[0.9640013575553894, -0.1378803253173828, 0.3858582079410553, 0.2892175614833832]","[0.030818000435829163, 0.01898663118481636, 0.27039578557014465, 0.08827878534793854]",pseudo_inverse
19,2,0.008854389190673828,1.1106077432632446,0.3477488160133362,0.11616837233304977,1.5390918254852295,0.5371373295783997,0.0,0.0,0.0,1.5390918254852295,0.0,"[0.9640013575553894, -0.1378803253173828, 0.3858582079410553, 0.2892175614833832]","[0.030818000435829163, 0.01898663118481636, 0.27039578557014465, 0.08827878534793854]",svd
19,3,0.009591281414031982,1.1101953983306885,0.3475545644760132,0.11616837233304977,1.5414233207702637,0.537032425403595,0.0,0.0,0.0,1.5414233207702637,0.0,"[0.9640013575553894, -0.1378803253173828, 0.3858582079410553, 0.2892175614833832]","[0.03028428554534912, 0.01899627223610878, 0.2708413898944855, 0.08870719373226166]",regularized
